query,intent,clicks,impressions,ctr,position,mapped_page,match_where
trikon parikrama vindhyachal,other,4,60,6.7%,1.3,/en/trikon-parikrama-vindhyachal-complete-guide,slug
kasi tamil sangam registration online,other,6,59,10.2%,5.0,/en/city/varanasi/events/kashi-tamil-sangamam-2026-varanasi,all terms on page
बनारस में गंगा आरती का समय,other,3,53,5.7%,7.2,/hi/assi-ghat-aarti-timings-2026,all terms on page
विंध्याचल में धर्मशाला,other,5,47,10.6%,5.1,/hi/where-to-stay-in-vindhyachal,all terms on page
what to wear in varanasi,other,3,40,7.5%,3.4,/en/what-to-wear-in-varanasi,title
trikon yatra vindhyachal,other,7,39,17.9%,1.3,/en/city/varanasi/taxi/varanasi-airport-to-mirzapur-vindhyachal-distance,all terms on page
बनारस से बिनधाचल की दूरी,other,4,39,10.3%,3.0,/hi/city/varanasi/taxi/varanasi-airport-to-banaras-railway-station-distance,tokens (8/9)
kashi tamil sangamam 2026 registration,other,5,36,13.9%,4.3,/en/city/varanasi/events/kashi-tamil-sangamam-2026-varanasi,all terms on page
காசி தமிழ் சங்கம் பதிவு 2026,other,6,27,22.2%,2.1,/en/assi-ghat-aarti-timings-2026,tokens (1/9)
बनारस से विंध्याचल कितने किलोमीटर है,other,3,24,12.5%,2.9,/hi/travel-from-varanasi-to-vindhyachal,all terms on page
kashi tamil sangamam 2026 venue,other,4,22,18.2%,1.9,/en/city/varanasi/events/kashi-tamil-sangamam-2026-varanasi,all terms on page
monsoon 2026 varanasi,other,3,22,13.6%,3.0,/en/varanasi-in-monsoon-july-september-2026,slug (all terms)
